line,grpLin,dateIni,dateEnd,depo,label,nameTo,nameFrom,externalTo,externalFrom
001,110,2018-11-21 00:00:00,2019-02-19 23:59:59,62825,1,PLAZA DE CRISTO REY,PROSPERIDAD,CRISTO REY      ,PROSPERIDAD     
002,110,2018-11-21 00:00:00,2019-02-28 23:59:59,62845,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,MANUEL BECERRA  ,REINA VICTORIA  
003,110,2018-06-13 00:00:00,2019-02-28 23:59:59,62825,3,PUERTA DE TOLEDO,PLAZA DE SAN AMARO,PUERTA TOLEDO   ,SAN AMARO       
004,110,2018-06-07 00:00:00,2019-02-28 23:59:59,62845,4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA,CIUDAD LINEAL   ,PUERTA ARGANDA  
004,110,2022-03-23 00:00:00,2022-05-17 23:59:59,62845,4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA,CIUDAD  LINEAL  ,PUERTA  ARGANDA 
004,110,2022-05-18 00:00:00,2022-05-23 23:59:59,62845,4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA,CIUDAD LINEAL   ,PUERTA ARGANDA  
004,110,2022-06-06 00:00:00,2022-06-26 23:59:59,62845,4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA,CIUDAD  LINEAL  ,PUERTA  ARGANDA 
004,110,2022-06-27 00:00:00,2022-07-04 23:59:59,62845,4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA,CIUDAD LINEAL   ,PUERTA ARGANDA  
004,110,2022-07-05 00:00:00,2024-05-19 23:59:59,62845,4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA,CIUDAD  LINEAL  ,PUERTA  ARGANDA 
005,110,2018-11-27 00:00:00,2019-01-08 23:59:59,62825,5,PUERTA DEL SOL/SEVILLA,ESTACION DE CHAMARTIN,SOL/SEVILLA     ,CHAMARTIN       
006,110,2018-12-02 00:00:00,2019-02-28 23:59:59,62835,6,PLAZA DE JACINTO BENAVENTE,ORCASITAS,BENAVENTE       ,ORCASITAS       
007,110,2014-10-07 00:00:00,2019-02-28 23:59:59,62875,7,PLAZA DE ALONSO MARTINEZ,MANOTERAS,ALONSO MARTINEZ ,MANOTERAS       
008,110,2018-08-25 00:00:00,2019-02-28 23:59:59,62865,8,PLAZA DE LEGAZPI,VALDEBERNARDO,LEGAZPI         ,VALDEBERNARDO   
009,110,2018-08-04 00:00:00,2019-02-28 23:59:59,62875,9,SEVILLA,HORTALEZA,SEVILLA         ,HORTALEZA       
009,110,2019-11-06 00:00:00,2020-07-10 23:59:59,62875,9,PUERTA DEL SOL/SEVILLA,HORTALEZA,SOL/SEVILLA     ,HORTALEZA       
009,110,2020-07-11 00:00:00,2020-10-21 23:59:59,62875,9,SEVILLA,HORTALEZA,SEVILLA         ,HORTALEZA       
009,110,2020-10-22 00:00:00,2021-11-03 23:59:59,62875,9,PUERTA DEL SOL/SEVILLA,HORTALEZA,SOL/SEVILLA     ,HORTALEZA       
009,110,2021-11-04 00:00:00,2022-01-02 23:59:59,62875,9,SEVILLA,HORTALEZA,SEVILLA         ,HORTALEZA       
009,110,2022-01-03 00:00:00,2022-01-16 23:59:59,62875,9,PUERTA DEL SOL/SEVILLA,HORTALEZA,SOL/SEVILLA     ,HORTALEZA       
010,110,2018-12-21 00:00:00,2019-02-28 23:59:59,62865,10,PLAZA DE CIBELES,PALOMERAS,CIBELES         ,PALOMERAS       
011,110,2016-05-04 00:00:00,2019-02-28 23:59:59,62845,11,MARQUES DE VIANA,BARRIO BLANCO,MARQUES DE VIANA,BARRIO BLANCO   
012,110,2018-09-15 00:00:00,2019-02-28 23:59:59,62845,12,PLAZA DE CRISTO REY,PASEO MARQUES DE ZAFRA,CRISTO REY      ,MARQUES DE ZAFRA
014,110,2017-10-28 00:00:00,2019-02-28 23:59:59,62865,14,PLAZA DE CONDE DE CASAL,AVENIDA DE PIO XII,CONDE DE CASAL  ,PIO XII         
015,110,2018-11-27 00:00:00,2019-01-09 23:59:59,62845,15,PUERTA DEL SOL/SEVILLA,LA ELIPA,SOL/SEVILLA     ,LA ELIPA        
016,110,2018-05-26 00:00:00,2019-02-28 23:59:59,62825,16,MONCLOA,AVENIDA DE PIO XII,MONCLOA         ,PIO XII         
017,110,2017-03-22 00:00:00,2019-02-28 23:59:59,62835,17,PLAZA MAYOR,COLONIA PARQUE DE EUROPA,PLAZA MAYOR     ,PARQUE EUROPA   
018,110,2018-09-28 00:00:00,2019-02-28 23:59:59,62835,18,PLAZA MAYOR,VILLAVERDE CRUCE,PLAZA MAYOR     ,VILLAVERDE CRUCE
019,110,2014-01-13 00:00:00,2019-02-28 23:59:59,62865,19,PLAZA DE CATALUÑA,PLAZA DE LEGAZPI,PLAZA CATALUÑA  ,LEGAZPI         
020,110,2018-11-27 00:00:00,2019-01-09 23:59:59,62845,20,PUERTA DEL SOL/SEVILLA,PAVONES,SOL/SEVILLA     ,PAVONES         
021,110,2018-12-08 00:00:00,2019-02-28 23:59:59,62845,21,PASEO DEL PINTOR ROSALES,BARRIO EL SALVADOR,PINTOR ROSALES  ,EL SALVADOR     
022,110,2017-12-05 00:00:00,2019-02-28 23:59:59,62835,22,PLAZA DE LEGAZPI,VILLAVERDE ALTO,LEGAZPI         ,VILLAVERDE ALTO 
023,110,2018-09-17 00:00:00,2019-02-28 23:59:59,62835,23,PLAZA MAYOR,VILLAVERDE CRUCE,PLAZA MAYOR     ,VILLAVERDE CRUCE
024,110,2018-12-21 00:00:00,2019-02-11 23:59:59,62865,24,ATOCHA RENFE,POZO DEL TIO RAIMUNDO,ATOCHA RENFE    ,EL POZO         
024,110,2021-01-01 00:00:00,2021-04-12 23:59:59,62865,24,ESTACION DE ATOCHA,POZO DEL TIO RAIMUNDO,ESTACION ATOCHA ,EL POZO         
024,110,2024-11-26 00:00:00,2025-03-11 23:59:59,62865,24,ESTACION DE ATOCHA,ESTACION EL POZO,ESTACION ATOCHA ,ESTACION EL POZO
025,110,2018-05-19 00:00:00,2019-01-28 23:59:59,62835,25,OPERA,CASA DE CAMPO,OPERA           ,CASA DE CAMPO   
025,110,2019-08-05 00:00:00,2020-07-21 23:59:59,62835,25,PLAZA DE ESPAÑA,CASA DE CAMPO,PLAZA ESPAÑA    ,CASA DE CAMPO   
026,110,2018-12-02 00:00:00,2019-02-28 23:59:59,62825,26,PLAZA DE TIRSO DE MOLINA,DIEGO DE LEON,TIRSO DE MOLINA ,DIEGO DE LEON   
027,110,2018-11-29 00:00:00,2019-02-28 23:59:59,62825,27,GLORIETA DE EMBAJADORES,PLAZA DE CASTILLA,EMBAJADORES     ,PLAZA CASTILLA  
028,110,2018-11-09 00:00:00,2019-02-28 23:59:59,62845,28,PUERTA DE ALCALA,BARRIO DE CANILLEJAS,PUERTA ALCALA   ,Bº CANILLEJAS   
029,110,2015-06-19 00:00:00,2019-02-28 23:59:59,62875,29,AVENIDA DE FELIPE II,MANOTERAS,FELIPE II       ,MANOTERAS       
030,110,2018-12-15 00:00:00,2019-02-28 23:59:59,62845,30,AVENIDA DE FELIPE II,PAVONES,FELIPE II       ,PAVONES         
031,110,2018-02-03 00:00:00,2019-02-28 23:59:59,62835,31,PLAZA MAYOR,ALUCHE,PLAZA MAYOR     ,ALUCHE          
032,110,2018-12-15 00:00:00,2019-02-20 23:59:59,62845,32,PLAZA DE JACINTO BENAVENTE,PAVONES,BENAVENTE       ,PAVONES         
033,110,2016-10-31 00:00:00,2019-02-28 23:59:59,62835,33,PRINCIPE PIO,CASA DE CAMPO,PRINCIPE PIO    ,CASA DE CAMPO   
034,110,2017-02-02 00:00:00,2019-01-21 23:59:59,62835,34,PLAZA DE CIBELES,LAS AGUILAS,CIBELES         ,LAS AGUILAS     
035,110,2018-08-31 00:00:00,2019-01-21 23:59:59,62835,35,PLAZA MAYOR,CARABANCHEL ALTO,PLAZA MAYOR     ,CARABANCHEL ALTO
