line;dateIni;dateEnd;label;nameTo;nameFrom;parada;secuencia;sentido;distancia;descparada;descpostal;posX;posY
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;4514;1;1;0;Cristo Rey                                        ;Isaac Peral, frente al Nº 40.                          ;-3.7166546265341656;40.44025816414701
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;4022;2;1;295;Junta Municipal Moncloa                           ;Isaac Peral frente al Nº 8                             ;-3.7171454466047944;40.437624491120005
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;3687;3;1;485;Moncloa                                           ;Arcipreste de Hita con C/ Fernando el Catolico         ;-3.7168090391098345;40.435923875112046
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;737;4;1;759;Altamirano                                        ;Princesa, 75                                           ;-3.7162815361209423;40.43399020745674
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;735;5;1;1019;Argüelles                                         ;Princesa, 47 ( Alberto Aguilera )                      ;-3.714797831700454;40.431936326642926
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;193;6;1;1296;Princesa-Rey Francisco                            ;Princesa, 29 (Evaristo San Miguel )                    ;-3.7132541337181926;40.42977468776963
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;173;7;1;1541;Ventura Rodríguez                                 ;Princesa, 15-17 (Ventura Rodríguez)                    ;-3.7118544618197604;40.427846375109816
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;741;8;1;1715;Plaza de España                                   ;Princesa, 1                                            ;-3.7108528369515437;40.42648767102781
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;171;9;1;1939;Gran Vía-Plaza de España                          ;Gran Vía, 71                                           ;-3.7092410657704944;40.42483540461876
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;169;10;1;2275;Santo Domingo                                     ;Gran Vía, 47                                           ;-3.7061797005217034;40.42292621210547
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;723;11;1;2569;Gran Vía-Callao                                   ;Gran Vía, 33                                           ;-3.703016653449177;40.42195449552127
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;724;12;1;2842;Gran Vía-Montera                                  ;Gran Vía, 21                                           ;-3.699805648312555;40.42178478657022
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;5138;13;1;2998;Gran Vía-Pedro Zerolo                             ;Gran Vía, 11                                           ;-3.698077319103976;40.421398837593465
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;164;14;1;3200;Gran Vía-Alcalá                                   ;Gran Vía  con C/ Alcalá                                ;-3.695871062206693;40.42074546914895
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;70;15;1;3537;Cibeles                                           ;Pza. de Cibeles con Pº del Prado                       ;-3.692098051173988;40.42093928879159
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;162;16;1;3979;Puerta de Alcalá-Retiro                           ;Pza. de la Independencia (Retiro)                      ;-3.6869844111261907;40.42148330275035
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;423;17;1;4479;Velázquez-Villanueva                              ;Velázquez, 8                                           ;-3.6829326983553665;40.42399380226647
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;424;18;1;4782;Velázquez-Goya                                    ;Velázquez, 30                                          ;-3.6827480315438144;40.426715621745416
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;425;19;1;5084;Velázquez-Ayala                                   ;Velazquez, 54                                          ;-3.682516197467804;40.42943771816583
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;426;20;1;5360;Velázquez-Ortega y Gasset                         ;Velázquez, 82                                          ;-3.68223464120405;40.43190785361826
1;2025-12-15;2999-12-31 23:59:59;1;PLAZA DE CRISTO REY;PROSPERIDAD;731;21;1;5654;Marqués de Salamanca                              ;José Ortega y Gasset, 34                               ;-3.6793344778344994;40.43191592301746
