OBJECTID;Activate;Address;PosicionSTR;Ligth;Name;NoAvailable;number;TotalBases;State;POINT_X;POINT_Y
1;1;Calle Miguel Moya nº 1,;-3.7056899999999997 40.4204;0;2 - Metro Callao;0;2;27;IN_SERVICE;-3,70569;40,4204
2;1;Plaza Conde Surchill, 4 ,;-3.7072537000000003 40.4303223;1;3 - Plaza Conde Suchil;0;3;19;IN_SERVICE;-3,7072537;40,4303223
3;1;Calle Manuela Malasaña nº 3,;-3.7025 40.4286259;0;4 - Malasaña;0;4;27;IN_SERVICE;-3,7025;40,4286259
4;1;Calle Fuencarral nº 106,;-3.7021354 40.4285212;0;5 - Fuencarral;0;5;27;IN_SERVICE;-3,7021354;40,4285212
5;1;Calle de Hortaleza, 53,;-3.699023 40.423178;0;6 - Colegio de Arquitectos;0;6;19;IN_SERVICE;-3,699023;40,423178
6;1;Calle Hortaleza nº 75,;-3.6977715000000004 40.4251906;0;7 - Hortaleza, 75;0;7;19;IN_SERVICE;-3,6977715;40,4251906
7;1;Plaza de Alonso Martínez nº 6,;-3.6954403000000005 40.4278682;1;8 - Metro Alonso Martínez;0;8;24;IN_SERVICE;-3,6954403;40,4278682
8;1;Plaza de San Miguel nº 10,;-3.7095084 40.4156057;1;9 - Plaza de San Miguel;0;9;24;IN_SERVICE;-3,7095084;40,4156057
9;1;Calle Marqués de la Ensenada (junto a edif, Centro Colón),;-3.6921040000000005 40.425403;2;10 - Marqués de la Ensenada;0;10;23;IN_SERVICE;-3,692104;40,425403
10;1;Calle San Andrés nº 18 - 20,;-3.7036 40.427;0;11 - Plaza del Dos de Mayo;0;11;23;IN_SERVICE;-3,7036;40,427
11;1;Calle San Bernardo nº 85 - 87,;-3.7061405999999995 40.4284667;2;12 - San Hermenegildo;0;12;27;IN_SERVICE;-3,7061406;40,4284667
12;1;Calle Conde Duque nº 22,;-3.7104999999999997 40.4273;2;13 - Conde Duque;0;13;23;IN_SERVICE;-3,7105;40,4273
13;1;Ventura Rodríguez, 3,;-3.7133069 40.4260425;0;14 - Ventura Rodríguez;0;14;27;IN_SERVICE;-3,7133069;40,4260425
14;1;Calle norte nº 10,;-3.7074453 40.4262383;0;15 - Norte;0;15;19;IN_SERVICE;-3,7074453;40,4262383
15;1;Calle San Bernardo nº 22,;-3.7074808485065 40.4229374;0;16 - San Bernardo;0;16;19;IN_SERVICE;-3,707480849;40,4229374
16;1;Calle de la Madera, 10,;-3.7050511289749055 40.4228028680601;0;17 - Plaza de Carlos Cambronero;0;17;19;IN_SERVICE;-3,705051129;40,42280287
17;1;Plaza de Pedro Zerolo nº 20,;-3.6996776 40.4209251;0;18 - Plaza de Pedro Zerolo;0;18;24;IN_SERVICE;-3,6996776;40,4209251
18;1;Calle Prim nº 4,;-3.6954982999999997 40.4218616;2;19 - Prim;0;19;28;IN_SERVICE;-3,6954983;40,4218616
19;1;Calle Alcalá nº 48,;-3.6952465 40.4188076;2;20 - Banco de España;0;20;27;IN_SERVICE;-3,6952465;40,4188076
20;1;Plaza de Santo Domingo nº 1,;-3.708249 40.4202595;2;23 - Santo Domingo;0;23;24;IN_SERVICE;-3,708249;40,4202595
