fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20241014|01001|0-25|hombre|0|124.993
20241014|01001|0-25|hombre|2|151.271
20241014|01001|0-25|hombre|2+|191.334
20241014|01001|0-25|mujer|0|104.877
20241014|01001|0-25|mujer|2|89.515
20241014|01001|0-25|mujer|2+|198.410
20241014|01001|25-45|hombre|0|90.109
20241014|01001|25-45|hombre|2|76.362
20241014|01001|25-45|hombre|2+|156.234
20241014|01001|25-45|mujer|0|67.355
20241014|01001|25-45|mujer|2|77.606
20241014|01001|25-45|mujer|2+|180.881
20241014|01001|45-65|hombre|0|120.362
20241014|01001|45-65|hombre|2|150.243
20241014|01001|45-65|hombre|2+|260.186
20241014|01001|45-65|mujer|0|95.743
20241014|01001|45-65|mujer|2|149.412
20241014|01001|45-65|mujer|2+|247.054
20241014|01001|65-100|hombre|0|73.357
20241014|01001|65-100|hombre|2|37.800
20241014|01001|65-100|hombre|2+|79.794
20241014|01001|65-100|mujer|0|76.173
20241014|01001|65-100|mujer|2|48.238
20241014|01001|65-100|mujer|2+|76.212
20241014|01002|0-25|hombre|0|319.164
20241014|01002|0-25|hombre|1|32.924
20241014|01002|0-25|hombre|2|286.403
20241014|01002|0-25|hombre|2+|637.767
20241014|01002|0-25|mujer|0|232.162
20241014|01002|0-25|mujer|1|69.353
20241014|01002|0-25|mujer|2|226.821
20241014|01002|0-25|mujer|2+|577.551
20241014|01002|25-45|hombre|0|230.344
20241014|01002|25-45|hombre|1|41.276
20241014|01002|25-45|hombre|2|228.594
20241014|01002|25-45|hombre|2+|625.531
20241014|01002|25-45|mujer|0|256.680
20241014|01002|25-45|mujer|1|34.058
20241014|01002|25-45|mujer|2|284.915
20241014|01002|25-45|mujer|2+|519.420
20241014|01002|45-65|hombre|0|341.074
20241014|01002|45-65|hombre|1|69.600
20241014|01002|45-65|hombre|2|343.315
20241014|01002|45-65|hombre|2+|748.309
20241014|01002|45-65|mujer|0|403.682
20241014|01002|45-65|mujer|1|72.844
20241014|01002|45-65|mujer|2|369.981
20241014|01002|45-65|mujer|2+|686.991
20241014|01002|65-100|hombre|0|331.589
20241014|01002|65-100|hombre|1|49.601
20241014|01002|65-100|hombre|2|243.871
20241014|01002|65-100|hombre|2+|478.769
20241014|01002|65-100|mujer|0|332.086
20241014|01002|65-100|mujer|1|68.000
20241014|01002|65-100|mujer|2|367.076
20241014|01002|65-100|mujer|2+|526.846
20241014|01004_AM|0-25|hombre|0|126.596
20241014|01004_AM|0-25|hombre|2|131.751
20241014|01004_AM|0-25|hombre|2+|146.017
20241014|01004_AM|0-25|mujer|0|112.027
20241014|01004_AM|0-25|mujer|2|68.157
20241014|01004_AM|0-25|mujer|2+|180.722
20241014|01004_AM|25-45|hombre|0|98.567
20241014|01004_AM|25-45|hombre|2|85.480
20241014|01004_AM|25-45|hombre|2+|147.897
20241014|01004_AM|25-45|mujer|0|79.633
20241014|01004_AM|25-45|mujer|2|109.304
20241014|01004_AM|25-45|mujer|2+|153.046
20241014|01004_AM|45-65|hombre|0|122.283
20241014|01004_AM|45-65|hombre|2|157.898
20241014|01004_AM|45-65|hombre|2+|221.672
20241014|01004_AM|45-65|mujer|0|134.936
20241014|01004_AM|45-65|mujer|2|155.739
20241014|01004_AM|45-65|mujer|2+|198.220
20241014|01004_AM|65-100|hombre|0|74.454
20241014|01004_AM|65-100|hombre|2|102.029
20241014|01004_AM|65-100|hombre|2+|84.544
20241014|01004_AM|65-100|mujer|0|92.308
20241014|01004_AM|65-100|mujer|1|14.031
20241014|01004_AM|65-100|mujer|2|82.026
20241014|01004_AM|65-100|mujer|2+|106.803
20241014|01009_AM|0-25|hombre|0|141.830
20241014|01009_AM|0-25|hombre|1|23.639
20241014|01009_AM|0-25|hombre|2|158.377
20241014|01009_AM|0-25|hombre|2+|227.203
20241014|01009_AM|0-25|mujer|0|133.507
20241014|01009_AM|0-25|mujer|1|28.347
20241014|01009_AM|0-25|mujer|2|110.895
20241014|01009_AM|0-25|mujer|2+|307.833
20241014|01009_AM|25-45|hombre|0|105.756
