|ID|name
0|01001|Alegría-Dulantzi
1|01002|Amurrio
2|01004_AM|Artziniega agregacion de municipios
3|01009_AM|Asparrena agregacion de municipios
4|01010|Ayala/Aiara
5|01017_AM|Campezo/Kanpezu agregacion de municipios
6|01028_AM|Labastida/Bastida agregacion de municipios
7|01036|Laudio/Llodio
8|01043|Oyón-Oion
9|01047_AM|Erriberabeitia agregacion de municipios
10|01051|Agurain/Salvatierra
11|01054_AM|Urkabustaiz agregacion de municipios
12|01058_AM|Legutio agregacion de municipios
13|01059|Vitoria-Gasteiz
14|01063_AM|Zuia agregacion de municipios
15|01901|Iruña Oka/Iruña de Oca
16|02003|Albacete
17|02008_AM|Alcaraz agregacion de municipios
18|02009|Almansa
19|02010_AM|Alpera agregacion de municipios
20|02012_AM|Balazote agregacion de municipios
21|02019_AM|Bonillo, El agregacion de municipios
22|02021_AM|Casas de Juan Núñez agregacion de municipios
23|02024_AM|Casas-Ibáñez agregacion de municipios
24|02025|Caudete
25|02029|Chinchilla de Monte-Aragón
26|02030|Elche de la Sierra
27|02033_AM|Fuente-Álamo agregacion de municipios
28|02034_AM|Fuentealbilla agregacion de municipios
29|02035_AM|Gineta, La agregacion de municipios
30|02037|Hellín
31|02045|Madrigueras
32|02053|Munera
33|02063_AM|Pozohondo agregacion de municipios
34|02067_AM|Riópar agregacion de municipios
35|02069|Roda, La
36|02072_AM|Socovos agregacion de municipios
37|02073_AM|Tarazona de la Mancha agregacion de municipios
38|02074|Tobarra
39|02075_AM|Valdeganga agregacion de municipios
40|02079|Villamalea
41|02081|Villarrobledo
42|02086_AM|Yeste agregacion de municipios
43|02901|Pozo Cañada
44|03002_AM|Agost agregacion de municipios
45|03005_AM|Albatera agregacion de municipios
46|03006_AM|Alcalalí agregacion de municipios
47|03009|Alcoy/Alcoi
48|03011|Alfàs del Pi, l'
49|03012|Algorfa
50|03013_AM|Algueña agregacion de municipios
51|03014|Alicante/Alacant
52|03015|Almoradí
53|03018|Altea
54|03019|Aspe
55|03021|Banyeres de Mariola
56|03023_AM|Beneixama agregacion de municipios
57|03024|Benejúzar
58|03026_AM|Beniarbeig agregacion de municipios
59|03028_AM|Beniarrés agregacion de municipios
60|03031|Benidorm
61|03034_AM|Benijófar agregacion de municipios
62|03035_AM|Benilloba agregacion de municipios
63|03041|Benissa
64|03042|Benitachell/Poble Nou de Benitatxell, el
65|03043|Biar
66|03044_AM|Bigastro agregacion de municipios
67|03046|Busot
68|03047|Calp
69|03048|Callosa d'en SarriÍ
70|03049|Callosa de Segura
71|03050|Campello, el
72|03053|Castalla
73|03055|Catral
74|03056|Cocentaina
75|03058|Cox
76|03059|Crevillent
77|03063|Dénia
78|03064|Dolores
79|03065|Elche/Elx
80|03066|Elda
81|03069|Finestrat
82|03070|Formentera del Segura
83|03071|Gata de Gorgos
84|03074_AM|Granja de Rocamora agregacion de municipios
85|03076|Guardamar del Segura
86|03077|Fondó de les Neus, el/Hondón de las Nieves
87|03079|Ibi
88|03081|Xaló
89|03082|Jávea/Xàbia
90|03083|Jijona/Xixona
91|03088|Monforte del Cid
92|03089|Monóvar/Monòver
93|03090|Mutxamel
94|03092_AM|Muro de Alcoy agregacion de municipios
95|03093|Novelda
96|03094|Nucia, la
97|03095|Ondara
98|03096|Onil
99|03097_AM|Orba agregacion de municipios
100|03099|Orihuela
101|03101|Pedreguer
102|03102|Pego
103|03104|Petrer
104|03105|Pinós, el/Pinoso
105|03107|Polop
106|03109|Rafal
107|03111|Redován
108|03112_AM|Relleu agregacion de municipios
109|03113|Rojales
110|03114|Romana, la
111|03118|San Fulgencio
112|03119|Sant Joan d'Alacant
113|03120|San Miguel de Salinas
114|03121|Santa Pola
115|03122|San Vicente del Raspeig/Sant Vicent del Raspeig
116|03123_AM|Sax agregacion de municipios
117|03128|Teulada
118|03133|Torrevieja
119|03138|Verger, el
120|03139|Villajoyosa/Vila Joiosa, la
121|03140|Villena
122|03901|Poblets, els
123|03902|Pilar de la Horadada
124|03903|Montesinos, Los
125|04003|Adra
126|04006|Albox
127|04011_AM|Alhama de Almería agregacion de municipios
128|04013|Almería
129|04016|Antas
130|04017_AM|Arboleas agregacion de municipios
131|04024|Benahadux
132|04029|Berja
133|04031|Cantoria
134|04032|Carboneras
135|04035|Cuevas del Almanzora
136|04038|Dalías
137|04044_AM|Fines agregacion de municipios
138|04045_AM|Fiñana agregacion de municipios
139|04047_AM|Gádor agregacion de municipios
140|04048_AM|Gallardos, Los agregacion de municipios
141|04049|Garrucha
142|04050_AM|Gérgal agregacion de municipios
143|04052|Huércal de Almería
144|04053|Huércal-Overa
145|04057_AM|Láujar de Andarax agregacion de municipios
146|04062_AM|Macael agregacion de municipios
147|04064|Mojácar
148|04066|Níjar
149|04069|Olula del Río
150|04070_AM|Oria agregacion de municipios
151|04074|Pechina
152|04075|Pulpí
153|04079|Roquetas de Mar
154|04083_AM|Serón agregacion de municipios
155|04086_AM|Sorbas agregacion de municipios
156|04088_AM|Tabernas agregacion de municipios
157|04092|Tíjola
158|04093|Turre
159|04098_AM|Vélez-Blanco agregacion de municipios
160|04099|Vélez-Rubio
161|04100|Vera
162|04101|Viator
163|04102|Vícar
164|04902|Ejido, El
165|04903|Mojonera, La
166|04904|Balanegra
167|05002_AM|Adrada, La agregacion de municipios
168|05013_AM|Arenal, El agregacion de municipios
169|05014_AM|Arenas de San Pedro agregacion de municipios
170|05016|Arévalo
171|05019|Ávila
172|05021_AM|Barco de Ávila, El agregacion de municipios
173|05047|Candeleda
174|05054_AM|Casavieja agregacion de municipios
175|05057|Cebreros
176|05102_AM|Hoyo de Pinares, El agregacion de municipios
177|05114_AM|Madrigal de las Altas Torres agregacion de municipios
178|05163_AM|Navaluenga agregacion de municipios
179|05168_AM|Navas del Marqués, Las agregacion de municipios
180|05186_AM|Piedrahíta agregacion de municipios
181|05204_AM|Sanchidrián agregacion de municipios
182|05220_AM|San Pedro del Arroyo agregacion de municipios
183|05238_AM|Solosancho agregacion de municipios
184|05240_AM|Sotillo de la Adrada agregacion de municipios
