station_id;station_name;stop_lon;stop_lat;state;capacity;transport_mode
2;Metro Callao;-3.70569;40.4204;IN_SERVICE    ;27;bicimad             
3;Plaza Conde Suchil;-3.7072537;40.4303223;IN_SERVICE    ;19;bicimad             
4;Malasaña;-3.7025;40.4286259;IN_SERVICE    ;27;bicimad             
5;Fuencarral;-3.7021354;40.4285212;IN_SERVICE    ;27;bicimad             
6;Colegio de Arquitectos;-3.699023;40.423178;IN_SERVICE    ;19;bicimad             
7;Hortaleza, 75;-3.6977715;40.4251906;IN_SERVICE    ;19;bicimad             
8;Metro Alonso Martínez;-3.6954403;40.4278682;IN_SERVICE    ;24;bicimad             
9;Plaza de San Miguel;-3.7095084;40.4156057;IN_SERVICE    ;24;bicimad             
10;Marqués de la Ensenada;-3.692104;40.425403;IN_SERVICE    ;23;bicimad             
11;Plaza del Dos de Mayo;-3.7036;40.427;IN_SERVICE    ;23;bicimad             
12;San Hermenegildo;-3.7061406;40.4284667;IN_SERVICE    ;27;bicimad             
13;Conde Duque;-3.7105;40.4273;IN_SERVICE    ;23;bicimad             
14;Ventura Rodríguez;-3.7133069;40.4260425;IN_SERVICE    ;27;bicimad             
15;Norte;-3.7074453;40.4262383;IN_SERVICE    ;19;bicimad             
16;San Bernardo;-3.707480849;40.4229374;IN_SERVICE    ;19;bicimad             
17;Plaza de Carlos Cambronero;-3.705051129;40.42280287;IN_SERVICE    ;19;bicimad             
18;Plaza de Pedro Zerolo;-3.6996776;40.4209251;IN_SERVICE    ;24;bicimad             
19;Prim;-3.6954983;40.4218616;IN_SERVICE    ;28;bicimad             
20;Banco de España;-3.6952465;40.4188076;IN_SERVICE    ;27;bicimad             
23;Santo Domingo;-3.708249;40.4202595;IN_SERVICE    ;24;bicimad             
24;Palacio de Oriente;-3.7106495;40.417767;IN_SERVICE    ;18;bicimad             
25A;Plaza de Celenque A;-3.7057791;40.4173703;IN_SERVICE    ;24;bicimad             
25B;Plaza de Celenque B;-3.7058976;40.4173687;IN_SERVICE    ;24;bicimad             
26;Plaza de las Salesas;-3.6945;40.4239;IN_SERVICE    ;27;bicimad             
27;Huertas;-3.6957;40.4133;IN_SERVICE    ;27;bicimad             
29;Marqués de Cubas;-3.6957434;40.4163838;IN_SERVICE    ;23;bicimad             
30;San Quintín;-3.711504;40.4192095;IN_SERVICE    ;27;bicimad             
31;Mayor;-3.7068969;40.4163638;IN_SERVICE    ;27;bicimad             
32;Plaza de la Provincia;-3.706636289;40.41466784;IN_SERVICE    ;23;bicimad             
33;Puerta del Sol;-3.7032264;40.4165363;IN_SERVICE    ;23;bicimad             
34;Jacinto Benavente;-3.7036883;40.4145422;IN_SERVICE    ;24;bicimad             
35;Doctor Letamendi, 3;-3.710062961;40.41369072;IN_SERVICE    ;23;bicimad             
36;Plaza Ramales;-3.712151;40.416876;IN_SERVICE    ;19;bicimad             
37;Calatrava, 38;-3.713482;40.41022;IN_SERVICE    ;23;bicimad             
38;Plaza de los Carros;-3.7115898;40.4113586;IN_SERVICE    ;27;bicimad             
39;Plaza de la Cebada;-3.7088337;40.4112744;IN_SERVICE    ;31;bicimad             
40;Conde de Romanones;-3.704953888;40.4131489;IN_SERVICE    ;23;bicimad             
41;Metro Antón Martín;-3.6991147;40.4122047;IN_SERVICE    ;19;bicimad             
42;Santa Isabel;-3.6982922;40.4108488;IN_SERVICE    ;27;bicimad             
