parking_id;parking_name;stop_lat;stop_lon;standard_spaces;pmr_spaces;PMR_ratio;transport_mode
2                                                                                                                                        ;Colón                             ;40.4247093;-3.6899392;1047;21;0.0200573066;parking             
3                                                                                                                                        ;Corazón de María II               ;40.4385248;-3.6455254;327;0;0.0;parking             
4                                                                                                                                        ;Encuentro                         ;40.4054645;-3.6513541;104;0;0.0;parking             
5                                                                                                                                        ;Nuestra Señora del Recuerdo       ;40.472181;-3.67916;902;12;0.0133037694;parking             
6                                                                                                                                        ;Corona Boreal                     ;40.4568;-3.7832;120;0;0.0;parking             
7                                                                                                                                        ;Avenida de Portugal               ;40.415415;-3.727515;435;14;0.032183908;parking             
8                                                                                                                                        ;Plaza del Carmen                  ;40.4185861;-3.7034468;434;8;0.0184331797;parking             
9                                                                                                                                        ;Paseo de Recoletos                ;40.420692539318;-3.692164729674;281;8;0.0284697509;parking             
10                                                                                                                                       ;Condesa de Gavia                  ;40.4490039;-3.7019123;73;0;0.0;parking             
12                                                                                                                                       ;Almagro                           ;40.43039;-3.69295;453;12;0.0264900662;parking             
15                                                                                                                                       ;Jacinto Benavente                 ;40.414267;-3.703448;394;4;0.0101522843;parking             
16                                                                                                                                       ;América                           ;40.4380932;-3.67669;269;0;0.0;parking             
17                                                                                                                                       ;Arquitecto Ribera (Barceló)       ;40.426411;-3.700464;317;7;0.0220820189;parking             
18                                                                                                                                       ;Brasil                            ;40.45615;-3.69374;226;0;0.0;parking             
19                                                                                                                                       ;Casino de la Reina                ;40.4066596;-3.7054501;131;0;0.0;parking             
21                                                                                                                                       ;Palacio Municipal de Congresos    ;40.46190431;-3.6160214;600;0;0.0;parking             
22                                                                                                                                       ;Orense                            ;40.453019;-3.694009;144;4;0.0277777778;parking             
23                                                                                                                                       ;Daoíz y Velarde                   ;40.4030883;-3.6784287;174;0;0.0;parking             
25                                                                                                                                       ;Marqués de Salamanca              ;40.430293;-3.679197;361;8;0.0221606648;parking             
26                                                                                                                                       ;Felipe II                         ;40.424015;-3.67567;1218;0;0.0;parking             
27                                                                                                                                       ;Fuencarral                        ;40.4294714;-3.702573;307;7;0.0228013029;parking             
28                                                                                                                                       ;General Yagüe                     ;40.4543339;-3.6939585;409;0;0.0;parking             
29                                                                                                                                       ;Hernani                           ;40.4482467;-3.6999184;115;0;0.0;parking             
30                                                                                                                                       ;José Castán Tobeñas               ;40.46473;-3.69225;205;0;0.0;parking             
31                                                                                                                                       ;Miguel Yuste                      ;40.43733;-3.62371;182;0;0.0;parking             
32                                                                                                                                       ;Plaza de Oriente                  ;40.42;-3.71305556;212;4;0.0188679245;parking             
33                                                                                                                                       ;Presidente Carmona                ;40.4541445;-3.697261;124;0;0.0;parking             
35                                                                                                                                       ;Reyes Magos                       ;40.4089554;-3.6759568;345;0;0.0;parking             
36                                                                                                                                       ;San Cayetano                      ;40.434403;-3.670343;222;0;0.0;parking             
37                                                                                                                                       ;Sánchez Bustillo                  ;40.4088597;-3.6933423;132;6;0.0454545455;parking             
39                                                                                                                                       ;Serrano II                        ;40.42865;-3.68715;307;0;0.0;parking             
40                                                                                                                                       ;Serrano III                       ;40.4197583;-3.6884056;261;0;0.0;parking             
41                                                                                                                                       ;Sevilla                           ;40.418054;-3.6992503;391;0;0.0;parking             
42                                                                                                                                       ;Velázquez Ayala                   ;40.42761;-3.68379;464;0;0.0;parking             
43                                                                                                                                       ;Velázquez Jorge Juan              ;40.4234377;-3.6771486;549;0;0.0;parking             
44                                                                                                                                       ;Verdaguer y García                ;40.4403579;-3.6546779;83;0;0.0;parking             
45                                                                                                                                       ;Auditorio                         ;40.4229427;-3.6801218;376;0;0.0;parking             
46                                                                                                                                       ;Cortes                            ;40.4156855;-3.6958823;942;0;0.0;parking             
47                                                                                                                                       ;Fernández Shaw                    ;40.4043224;-3.668314;245;0;0.0;parking             
49                                                                                                                                       ;Montalbán                         ;40.418161;-3.690707;294;4;0.0136054422;parking             
50                                                                                                                                       ;Mostenses                         ;40.4235602;-3.7089974;357;0;0.0;parking             
51                                                                                                                                       ;Museo de la ciudad                ;40.4474968;-3.6779271;147;0;0.0;parking             
52                                                                                                                                       ;Olavide                           ;40.4326973;-3.7010275;383;13;0.0339425587;parking             
53                                                                                                                                       ;Plaza de España                   ;40.423636;-3.711583;808;29;0.0358910891;parking             
54                                                                                                                                       ;Plaza del Rey                     ;40.4200305;-3.6963131;147;3;0.0204081633;parking             
55                                                                                                                                       ;Plaza Mayor                       ;40.4152721;-3.7066676;699;22;0.0314735336;parking             
57                                                                                                                                       ;San Epifanio                      ;40.401317;-3.718745;501;12;0.0239520958;parking             
58                                                                                                                                       ;Velázquez Juan Bravo              ;40.4321;-3.6834;371;0;0.0;parking             
60                                                                                                                                       ;Díaz Porlier                      ;40.4345198;-3.675167;203;0;0.0;parking             
61                                                                                                                                       ;República Dominicana              ;40.45869;-3.67647;203;0;0.0;parking             
62                                                                                                                                       ;Serrano I                         ;40.4359971;-3.6872468;307;0;0.0;parking             
63                                                                                                                                       ;Marqués de Urquijo                ;40.4298028;-3.7188502;435;0;0.0;parking             
64                                                                                                                                       ;Puerta Toledo                     ;40.407036;-3.7110512;244;0;0.0;parking             
67                                                                                                                                       ;Villa de París                    ;40.4251;-3.692336;179;4;0.0223463687;parking             
69                                                                                                                                       ;Barceló                           ;40.426438;-3.700366;554;0;0.0;parking             
71                                                                                                                                       ;Pedro Zerolo                      ;40.420653;-3.699282;115;3;0.0260869565;parking             
73                                                                                                                                       ;Agustín Lara                      ;40.408628;-3.703414;52;0;0.0;parking             
74                                                                                                                                       ;Fuente de la Mora                 ;40.484395;-3.663501;414;12;0.0289855072;parking             
75                                                                                                                                       ;GARAJE AMPARO                     ;40.407933;-3.701445;68;0;0.0;parking             
76                                                                                                                                       ;Pitis                             ;40.496558;-3.723984502;461;10;0.021691974;parking             
77                                                                                                                                       ;PLAZA DE SANTA ANA                ;40.414533;-3.700645;328;6;0.0182926829;parking             
78                                                                                                                                       ;Islazul                           ;40.364416188;-3.738932785;224;0;0.0;parking             
79                                                                                                                                       ;Aviación Española                 ;40.383721163;-3.783541162;359;9;0.0250696379;parking             
80                                                                                                                                       ;Wanda Metropolitano               ;40.4335587;-3.60067257;3027;0;0.0;parking             
81                                                                                                                                       ;Paseo Artilleros 360              ;40.4046325;-3.6091345;148;4;0.027027027;parking             
82                                                                                                                                       ;Altamiras                         ;40.433787;-3.663694;59;0;0.0;parking             
84                                                                                                                                       ;Elvira                            ;40.420947;-3.665728;190;0;0.0;parking             
85                                                                                                                                       ;Ginzo de Limia                    ;40.484704;-3.707068;97;0;0.0;parking             
86                                                                                                                                       ;La Latina                         ;40.408782;-3.710914;160;0;0.0;parking             
87                                                                                                                                       ;Pradillo II                       ;40.449119;-3.671122;64;0;0.0;parking             
88                                                                                                                                       ;BARCO 1                           ;40.421107;-3.702918;50;0;0.0;parking             
89                                                                                                                                       ;GRAVINA 21                        ;40.422704;-3.696436;25;0;0.0;parking             
90                                                                                                                                       ;Samaranch                         ;40.408244;-3.718239;233;0;0.0;parking             
94                                                                                                                                       ;MERCADO SAN ANTON                 ;40.421693;-3.697468;100;0;0.0;parking             
95                                                                                                                                       ;Colón                             ;40.424419;-3.689574;4;0;0.0;parking             
96                                                                                                                                       ;GARAJE PIAMONTE                   ;40.42305;-3.694675;95;0;0.0;parking             
97                                                                                                                                       ;PARKING VOT                       ;40.408671;-3.714779;90;3;0.0333333333;parking             
