line;label;dateIni;dateEnd;duracion_dias;depo;es_especial
1;1;2018-11-21;2019-02-19 23:59:59;90.0;62825;False
2;2;2018-11-21;2019-02-28 23:59:59;99.0;62845;False
3;3;2018-06-13;2019-02-28 23:59:59;260.0;62825;False
4;4;2018-06-07;2024-05-19 23:59:59;684.0;62845;False
5;5;2018-11-27;2019-01-08 23:59:59;42.0;62825;False
6;6;2018-12-02;2019-02-28 23:59:59;88.0;62835;False
7;7;2014-10-07;2019-02-28 23:59:59;1605.0;62875;False
8;8;2018-08-25;2019-02-28 23:59:59;187.0;62865;False
9;9;2018-08-04;2022-01-16 23:59:59;377.0;62875;False
10;10;2018-12-21;2019-02-28 23:59:59;69.0;62865;False
11;11;2016-05-04;2019-02-28 23:59:59;1030.0;62845;False
12;12;2018-09-15;2019-02-28 23:59:59;166.0;62845;False
14;14;2017-10-28;2019-02-28 23:59:59;488.0;62865;False
15;15;2018-11-27;2019-01-09 23:59:59;43.0;62845;False
16;16;2018-05-26;2019-02-28 23:59:59;278.0;62825;False
17;17;2017-03-22;2019-02-28 23:59:59;708.0;62835;False
18;18;2018-09-28;2019-02-28 23:59:59;153.0;62835;False
19;19;2014-01-13;2019-02-28 23:59:59;1872.0;62865;False
20;20;2018-11-27;2019-01-09 23:59:59;43.0;62845;False
21;21;2018-12-08;2019-02-28 23:59:59;82.0;62845;False
22;22;2017-12-05;2019-02-28 23:59:59;450.0;62835;False
23;23;2018-09-17;2019-02-28 23:59:59;164.0;62835;False
24;24;2018-12-21;2025-03-11 23:59:59;105.0;62865;False
25;25;2018-05-19;2020-07-21 23:59:59;351.0;62835;False
26;26;2018-12-02;2019-02-28 23:59:59;88.0;62825;False
27;27;2018-11-29;2019-02-28 23:59:59;91.0;62825;False
28;28;2018-11-09;2019-02-28 23:59:59;111.0;62845;False
29;29;2015-06-19;2019-02-28 23:59:59;1350.0;62875;False
30;30;2018-12-15;2019-02-28 23:59:59;75.0;62845;False
31;31;2018-02-03;2019-02-28 23:59:59;390.0;62835;False
