1 Cristo Rey                                                                                                                                                                                               -3.7166546 40.4402582
2 Junta Municipal Moncloa                                                                                                                                                                                  -3.7171454 40.4376245
3 Moncloa                                                                                                                                                                                                  -3.716809 40.4359239
4 Altamirano                                                                                                                                                                                               -3.7162815 40.4339902
5 Argüelles                                                                                                                                                                                                -3.7147978 40.4319363
6 Princesa-Rey Francisco                                                                                                                                                                                   -3.7132541 40.4297747
7 Ventura Rodríguez                                                                                                                                                                                        -3.7118545 40.4278464
8 Plaza de España                                                                                                                                                                                          -3.7108528 40.4264877
9 Gran Vía-Plaza de España                                                                                                                                                                                 -3.7092411 40.4248354
10 Santo Domingo                                                                                                                                                                                            -3.7061797 40.4229262
11 Gran Vía-Callao                                                                                                                                                                                          -3.7030167 40.4219545
12 Gran Vía-Montera                                                                                                                                                                                         -3.6998056 40.4217848
13 Gran Vía-Pedro Zerolo                                                                                                                                                                                    -3.6980773 40.4213988
14 Gran Vía-Alcalá                                                                                                                                                                                          -3.6958711 40.4207455
15 Cibeles                                                                                                                                                                                                  -3.6920981 40.4209393
16 Puerta de Alcalá-Retiro                                                                                                                                                                                  -3.6869844 40.4214833
17 Velázquez-Villanueva                                                                                                                                                                                     -3.6829327 40.4239938
18 Velázquez-Goya                                                                                                                                                                                           -3.682748 40.4267156
19 Velázquez-Ayala                                                                                                                                                                                          -3.6825162 40.4294377
20 Velázquez-Ortega y Gasset                                                                                                                                                                                -3.6822346 40.4319079
21 Marqués de Salamanca                                                                                                                                                                                     -3.6793345 40.4319159
22 Lista                                                                                                                                                                                                    -3.6746873 40.4317089
23 Parque Eva Duarte                                                                                                                                                                                        -3.6696052 40.4314817
24 Cartagena-Francisco Silvela                                                                                                                                                                              -3.6691818 40.4329211
25 Plaza San Cayetano                                                                                                                                                                                       -3.6689557 40.4362828
26 Cartagena-Béjar                                                                                                                                                                                          -3.6696794 40.4391074
27 Cartagena                                                                                                                                                                                                -3.6723556 40.4414793
28 Cartagena-López de Hoyos                                                                                                                                                                                 -3.6742717 40.444396
29 Auditorio Nacional                                                                                                                                                                                       -3.6750855 40.4467697
30 Prosperidad                                                                                                                                                                                              -3.6736203 40.4455845
31 Cartagena-López de Hoyos                                                                                                                                                                                 -3.6745426 40.4443584
32 Cartagena                                                                                                                                                                                                -3.6725023 40.4414469
33 Cartagena-Béjar                                                                                                                                                                                          -3.6698318 40.4390164
34 Plaza San Cayetano                                                                                                                                                                                       -3.6692691 40.4357854
35 Centro Cultural Buenavista                                                                                                                                                                               -3.6697099 40.433864
